Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /Users/Jerry/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 15:08:56.364695: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 047 Default Step Loss 0.233451, Argument Step Loss 1.659996, Term: 0.987500, Prog: 0.625000, A0: 0.523077, A1: 0.707692, A2: 1.0
Epoch 01 Step 048 Default Step Loss 0.210134, Argument Step Loss 1.581820, Term: 0.986111, Prog: 0.638889, A0: 0.542373, A1: 0.745763, A2: 1.0
Epoch 01 Step 049 Default Step Loss 0.252814, Argument Step Loss 1.672654, Term: 0.988636, Prog: 0.613636, A0: 0.535211, A1: 0.676056, A2: 1.0
Epoch 01 Step 050 Default Step Loss 0.171183, Argument Step Loss 1.485316, Term: 0.984375, Prog: 0.656250, A0: 0.603774, A1: 0.792453, A2: 1.0
Epoch 01 Step 051 Default Step Loss 0.236221, Argument Step Loss 1.607114, Term: 0.988095, Prog: 0.630952, A0: 0.588235, A1: 0.676471, A2: 1.0
Epoch 01 Step 052 Default Step Loss 0.198989, Argument Step Loss 1.548175, Term: 0.985294, Prog: 0.647059, A0: 0.535714, A1: 0.767857, A2: 1.0
Epoch 01 Step 053 Default Step Loss 0.241847, Argument Step Loss 1.640226, Term: 0.988095, Prog: 0.642857, A0: 0.558824, A1: 0.676471, A2: 1.0
Epoch 01 Step 054 Default Step Loss 0.222136, Argument Step Loss 1.593306, Term: 0.987500, Prog: 0.662500, A0: 0.584615, A1: 0.692308, A2: 1.0
Epoch 01 Step 055 Default Step Loss 0.231940, Argument Step Loss 1.553801, Term: 0.988095, Prog: 0.654762, A0: 0.602941, A1: 0.691176, A2: 1.0
Epoch 01 Step 056 Default Step Loss 0.212255, Argument Step Loss 1.545882, Term: 0.986111, Prog: 0.638889, A0: 0.593220, A1: 0.745763, A2: 1.0
Epoch 01 Step 057 Default Step Loss 0.233076, Argument Step Loss 1.592544, Term: 0.987500, Prog: 0.662500, A0: 0.615385, A1: 0.692308, A2: 1.0
Epoch 01 Step 058 Default Step Loss 0.243504, Argument Step Loss 1.578380, Term: 0.988636, Prog: 0.613636, A0: 0.690141, A1: 0.690141, A2: 1.0
Epoch 01 Step 059 Default Step Loss 0.227152, Argument Step Loss 1.603786, Term: 0.986842, Prog: 0.631579, A0: 0.564516, A1: 0.709677, A2: 1.0
Epoch 01 Step 060 Default Step Loss 0.219209, Argument Step Loss 1.543612, Term: 0.987500, Prog: 0.662500, A0: 0.630769, A1: 0.692308, A2: 1.0
Epoch 01 Step 061 Default Step Loss 0.208922, Argument Step Loss 1.495605, Term: 0.986842, Prog: 0.671053, A0: 0.661290, A1: 0.709677, A2: 1.0
Epoch 01 Step 062 Default Step Loss 0.193927, Argument Step Loss 1.477256, Term: 0.985294, Prog: 0.661765, A0: 0.589286, A1: 0.785714, A2: 1.0
Epoch 01 Step 063 Default Step Loss 0.214462, Argument Step Loss 1.513984, Term: 0.986842, Prog: 0.644737, A0: 0.645161, A1: 0.709677, A2: 1.0
Epoch 01 Step 064 Default Step Loss 0.265390, Argument Step Loss 1.530668, Term: 0.988636, Prog: 0.613636, A0: 0.704225, A1: 0.718310, A2: 1.0
Epoch 01 Step 065 Default Step Loss 0.216766, Argument Step Loss 1.537053, Term: 0.986842, Prog: 0.671053, A0: 0.580645, A1: 0.709677, A2: 1.0
Epoch 01 Step 066 Default Step Loss 0.229988, Argument Step Loss 1.507096, Term: 0.987500, Prog: 0.625000, A0: 0.630769, A1: 0.707692, A2: 1.0
Epoch 01 Step 067 Default Step Loss 0.227077, Argument Step Loss 1.494300, Term: 0.988095, Prog: 0.619048, A0: 0.705882, A1: 0.691176, A2: 1.0
Epoch 01 Step 068 Default Step Loss 0.205324, Argument Step Loss 1.436911, Term: 0.986111, Prog: 0.638889, A0: 0.661017, A1: 0.745763, A2: 1.0
Epoch 01 Step 069 Default Step Loss 0.241142, Argument Step Loss 1.525937, Term: 0.989130, Prog: 0.619565, A0: 0.702703, A1: 0.648649, A2: 1.0
Epoch 01 Step 070 Default Step Loss 0.224623, Argument Step Loss 1.485058, Term: 0.988095, Prog: 0.630952, A0: 0.705882, A1: 0.676471, A2: 1.0
Epoch 01 Step 071 Default Step Loss 0.220797, Argument Step Loss 1.465416, Term: 0.986111, Prog: 0.638889, A0: 0.661017, A1: 0.745763, A2: 1.0
Epoch 01 Step 072 Default Step Loss 0.192245, Argument Step Loss 1.486922, Term: 0.986111, Prog: 0.638889, A0: 0.644068, A1: 0.745763, A2: 1.0
Epoch 01 Step 073 Default Step Loss 0.206104, Argument Step Loss 1.424818, Term: 0.986111, Prog: 0.652778, A0: 0.644068, A1: 0.745763, A2: 1.0
Epoch 01 Step 074 Default Step Loss 0.217043, Argument Step Loss 1.430559, Term: 0.986842, Prog: 0.631579, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 075 Default Step Loss 0.218198, Argument Step Loss 1.476994, Term: 0.986842, Prog: 0.657895, A0: 0.612903, A1: 0.725806, A2: 1.0
Epoch 01 Step 076 Default Step Loss 0.189921, Argument Step Loss 1.398287, Term: 0.985294, Prog: 0.632353, A0: 0.607143, A1: 0.750000, A2: 1.0
Epoch 01 Step 077 Default Step Loss 0.233264, Argument Step Loss 1.491827, Term: 0.988095, Prog: 0.607143, A0: 0.661765, A1: 0.676471, A2: 1.0
Epoch 01 Step 078 Default Step Loss 0.249833, Argument Step Loss 1.484099, Term: 0.988095, Prog: 0.619048, A0: 0.647059, A1: 0.676471, A2: 1.0
Epoch 01 Step 079 Default Step Loss 0.204258, Argument Step Loss 1.427832, Term: 0.986111, Prog: 0.638889, A0: 0.661017, A1: 0.745763, A2: 1.0
Epoch 01 Step 080 Default Step Loss 0.220350, Argument Step Loss 1.429695, Term: 0.987500, Prog: 0.625000, A0: 0.692308, A1: 0.707692, A2: 1.0
Epoch 01 Step 081 Default Step Loss 0.237822, Argument Step Loss 1.414518, Term: 0.987500, Prog: 0.587500, A0: 0.676923, A1: 0.723077, A2: 1.0
Epoch 01 Step 082 Default Step Loss 0.186798, Argument Step Loss 1.405851, Term: 0.986111, Prog: 0.625000, A0: 0.661017, A1: 0.728814, A2: 1.0
Epoch 01 Step 083 Default Step Loss 0.200260, Argument Step Loss 1.390990, Term: 0.986842, Prog: 0.578947, A0: 0.677419, A1: 0.758065, A2: 1.0
Epoch 01 Step 084 Default Step Loss 0.229117, Argument Step Loss 1.402384, Term: 0.986842, Prog: 0.618421, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 085 Default Step Loss 0.199413, Argument Step Loss 1.402910, Term: 0.986842, Prog: 0.592105, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 086 Default Step Loss 0.203334, Argument Step Loss 1.380592, Term: 0.986111, Prog: 0.541667, A0: 0.661017, A1: 0.779661, A2: 1.0
Epoch 01 Step 087 Default Step Loss 0.206489, Argument Step Loss 1.404260, Term: 0.987500, Prog: 0.575000, A0: 0.692308, A1: 0.707692, A2: 1.0
Epoch 01 Step 088 Default Step Loss 0.236823, Argument Step Loss 1.403528, Term: 0.987500, Prog: 0.625000, A0: 0.692308, A1: 0.692308, A2: 1.0
Epoch 01 Step 089 Default Step Loss 0.199323, Argument Step Loss 1.354038, Term: 0.986842, Prog: 0.565789, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 090 Default Step Loss 0.225624, Argument Step Loss 1.382394, Term: 0.986842, Prog: 0.539474, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 091 Default Step Loss 0.222255, Argument Step Loss 1.385089, Term: 0.987500, Prog: 0.550000, A0: 0.692308, A1: 0.707692, A2: 1.0
Epoch 01 Step 092 Default Step Loss 0.171129, Argument Step Loss 1.368046, Term: 0.985294, Prog: 0.500000, A0: 0.642857, A1: 0.750000, A2: 1.0
Epoch 01 Step 093 Default Step Loss 0.170727, Argument Step Loss 1.335657, Term: 0.985294, Prog: 0.558824, A0: 0.642857, A1: 0.750000, A2: 1.0
Epoch 01 Step 094 Default Step Loss 0.215228, Argument Step Loss 1.424751, Term: 0.988095, Prog: 0.535714, A0: 0.705882, A1: 0.676471, A2: 1.0
Epoch 01 Step 095 Default Step Loss 0.181198, Argument Step Loss 1.334018, Term: 0.986111, Prog: 0.513889, A0: 0.661017, A1: 0.745763, A2: 1.0
Epoch 01 Step 096 Default Step Loss 0.168043, Argument Step Loss 1.264388, Term: 0.985294, Prog: 0.573529, A0: 0.642857, A1: 0.839286, A2: 1.0
Epoch 01 Step 097 Default Step Loss 0.196431, Argument Step Loss 1.380351, Term: 0.987500, Prog: 0.612500, A0: 0.692308, A1: 0.707692, A2: 1.0
Epoch 01 Step 098 Default Step Loss 0.238039, Argument Step Loss 1.386993, Term: 0.988095, Prog: 0.619048, A0: 0.705882, A1: 0.691176, A2: 1.0
Epoch 01 Step 099 Default Step Loss 0.185414, Argument Step Loss 1.348087, Term: 0.986842, Prog: 0.618421, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 100 Default Step Loss 0.163151, Argument Step Loss 1.323758, Term: 0.985294, Prog: 0.617647, A0: 0.642857, A1: 0.750000, A2: 1.0
Epoch 01 Step 101 Default Step Loss 0.187772, Argument Step Loss 1.318864, Term: 0.985294, Prog: 0.632353, A0: 0.642857, A1: 0.785714, A2: 1.0
Epoch 01 Step 102 Default Step Loss 0.182632, Argument Step Loss 1.312905, Term: 0.986842, Prog: 0.671053, A0: 0.677419, A1: 0.725806, A2: 1.0
Epoch 01 Step 103 Default Step Loss 0.230874, Argument Step Loss 1.357324, Term: 0.987500, Prog: 0.637500, A0: 0.692308, A1: 0.692308, A2: 1.0
Epoch 01 Step 104 Default Step Loss 0.221894, Argument Step Loss 1.349217, Term: 0.988636, Prog: 0.636364, A0: 0.718310, A1: 0.661972, A2: 1.0
Epoch 01 Step 105 Default Step Loss 0.161467, Argument Step Loss 1.301353, Term: 0.985294, Prog: 0.617647, A0: 0.642857, A1: 0.767857, A2: 1.0
Epoch 01 Step 106 Default Step Loss 0.169951, Argument Step Loss 1.328802, Term: 0.986111, Prog: 0.652778, A0: 0.661017, A1: 0.728814, A2: 1.0
Epoch 01 Step 107 Default Step Loss 0.216916, Argument Step Loss 1.330234, Term: 0.988636, Prog: 0.681818, A0: 0.718310, A1: 0.676056, A2: 1.0
Epoch 01 Step 108 Default Step Loss 0.233613, Argument Step Loss 1.336374, Term: 0.988636, Prog: 0.590909, A0: 0.718310, A1: 0.676056, A2: 1.0
Epoch 01 Step 109 Default Step Loss 0.209859, Argument Step Loss 1.317603, Term: 0.988095, Prog: 0.642857, A0: 0.705882, A1: 0.720588, A2: 1.0
Epoch 01 Step 110 Default Step Loss 0.173235, Argument Step Loss 1.322103, Term: 0.986842, Prog: 0.605263, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 111 Default Step Loss 0.202291, Argument Step Loss 1.382095, Term: 0.975000, Prog: 0.650000, A0: 0.692308, A1: 0.707692, A2: 0.9846153846153847
Epoch 01 Step 112 Default Step Loss 0.222540, Argument Step Loss 1.318047, Term: 0.987500, Prog: 0.650000, A0: 0.692308, A1: 0.738462, A2: 1.0
