Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 127 Term Loss -0.172300, Default Loss -79.139252, Reward -13.000000
Epoch 01 Step 128 Term Loss -0.171916, Default Loss -79.139229, Reward -13.000000
Epoch 01 Step 129 Term Loss -0.172109, Default Loss -79.139206, Reward -13.000000
Epoch 01 Step 130 Term Loss -0.172822, Default Loss -79.139175, Reward -13.000000
Epoch 01 Step 131 Term Loss -0.172573, Default Loss -79.139145, Reward 0.900000
Epoch 01 Step 132 Term Loss -0.172048, Default Loss -79.139130, Reward 0.900000
Epoch 01 Step 133 Term Loss -0.172114, Default Loss -79.139107, Reward 0.900000
Epoch 01 Step 134 Term Loss -0.172707, Default Loss -79.139076, Reward 0.900000
Epoch 01 Step 135 Term Loss -0.172793, Default Loss -79.139053, Reward -13.000000
Epoch 01 Step 136 Term Loss -0.172366, Default Loss -79.139038, Reward -13.000000
Epoch 01 Step 137 Term Loss -0.172521, Default Loss -79.139015, Reward -13.000000
Epoch 01 Step 138 Term Loss -0.173199, Default Loss -79.138985, Reward -13.000000
Epoch 01 Step 139 Term Loss -0.172226, Default Loss -79.138962, Reward 0.900000
Epoch 01 Step 140 Term Loss -0.171733, Default Loss -79.138931, Reward 0.900000
Epoch 01 Step 141 Term Loss -0.171817, Default Loss -79.138916, Reward 0.900000
Epoch 01 Step 142 Term Loss -0.172431, Default Loss -79.138885, Reward 0.900000
Epoch 01 Step 143 Term Loss -0.173054, Default Loss -79.138878, Reward -13.000000
Epoch 01 Step 144 Term Loss -0.172615, Default Loss -79.138847, Reward -13.000000
Epoch 01 Step 145 Term Loss -0.172755, Default Loss -79.138824, Reward -13.000000
Epoch 01 Step 146 Term Loss -0.173152, Default Loss -79.138802, Reward 0.900000
Epoch 01 Step 147 Term Loss -0.173091, Default Loss -79.138779, Reward 0.900000
Epoch 01 Step 148 Term Loss -0.172998, Default Loss -79.138756, Reward -13.000000
Epoch 01 Step 149 Term Loss -0.173104, Default Loss -79.138741, Reward -13.000000
Epoch 01 Step 150 Term Loss -0.172838, Default Loss -79.138718, Reward 0.900000
Epoch 01 Step 151 Term Loss -0.172806, Default Loss -79.138687, Reward 0.900000
Epoch 01 Step 152 Term Loss -0.173262, Default Loss -79.138664, Reward -13.000000
Epoch 01 Step 153 Term Loss -0.173232, Default Loss -79.138641, Reward 0.900000
Epoch 01 Step 154 Term Loss -0.172878, Default Loss -79.138626, Reward -13.000000
Epoch 01 Step 155 Term Loss -0.172999, Default Loss -79.138618, Reward -13.000000
Epoch 01 Step 156 Term Loss -0.172930, Default Loss -79.138588, Reward 0.900000
Epoch 01 Step 157 Term Loss -0.172881, Default Loss -79.138557, Reward 0.900000
Epoch 01 Step 158 Term Loss -0.173196, Default Loss -79.138542, Reward -13.000000
Epoch 01 Step 159 Term Loss -0.173287, Default Loss -79.138527, Reward 0.800000
Epoch 01 Step 160 Term Loss -0.172833, Default Loss -79.138504, Reward -13.000000
Epoch 01 Step 161 Term Loss -0.172962, Default Loss -79.138481, Reward -13.000000
Epoch 01 Step 162 Term Loss -0.172960, Default Loss -79.138458, Reward 0.900000
Epoch 01 Step 163 Term Loss -0.172908, Default Loss -79.138435, Reward 0.900000
Epoch 01 Step 164 Term Loss -0.173176, Default Loss -79.138405, Reward -13.000000
Epoch 01 Step 165 Term Loss -0.173275, Default Loss -79.138390, Reward -13.000000
Epoch 01 Step 166 Term Loss -0.172677, Default Loss -79.138374, Reward 0.900000
Epoch 01 Step 167 Term Loss -0.172649, Default Loss -79.138351, Reward 0.900000
Epoch 01 Step 168 Term Loss -0.173157, Default Loss -79.138329, Reward 0.900000
Epoch 01 Step 169 Term Loss -0.172421, Default Loss -79.138313, Reward -13.000000
Epoch 01 Step 170 Term Loss -0.172060, Default Loss -79.138298, Reward -13.000000
Epoch 01 Step 171 Term Loss -0.172271, Default Loss -79.138275, Reward -13.000000
Epoch 01 Step 172 Term Loss -0.172995, Default Loss -79.138252, Reward -13.000000
Epoch 01 Step 173 Term Loss -0.172393, Default Loss -79.138222, Reward 0.900000
Epoch 01 Step 174 Term Loss -0.171858, Default Loss -79.138199, Reward 0.900000
Epoch 01 Step 175 Term Loss -0.171909, Default Loss -79.138184, Reward 0.900000
Epoch 01 Step 176 Term Loss -0.172484, Default Loss -79.138153, Reward 0.900000
Epoch 01 Step 177 Term Loss -0.173033, Default Loss -79.138138, Reward -13.000000
Epoch 01 Step 178 Term Loss -0.172621, Default Loss -79.138138, Reward -13.000000
Epoch 01 Step 179 Term Loss -0.172786, Default Loss -79.138107, Reward -13.000000
Epoch 01 Step 180 Term Loss -0.173106, Default Loss -79.138077, Reward 0.900000
Epoch 01 Step 181 Term Loss -0.173025, Default Loss -79.138069, Reward 0.900000
Epoch 01 Step 182 Term Loss -0.173085, Default Loss -79.138039, Reward -13.000000
Epoch 01 Step 183 Term Loss -0.173203, Default Loss -79.138031, Reward -13.000000
Epoch 01 Step 184 Term Loss -0.172728, Default Loss -79.138008, Reward 0.900000
Epoch 01 Step 185 Term Loss -0.172684, Default Loss -79.137978, Reward 0.900000
Epoch 01 Step 186 Term Loss -0.173177, Default Loss -79.137962, Reward 0.900000
Epoch 01 Step 187 Term Loss -0.172421, Default Loss -79.137955, Reward -13.000000
Epoch 01 Step 188 Term Loss -0.172076, Default Loss -79.137939, Reward -13.000000
Epoch 01 Step 189 Term Loss -0.172297, Default Loss -79.137909, Reward -13.000000
Epoch 01 Step 190 Term Loss -0.173025, Default Loss -79.137894, Reward -13.000000
Epoch 01 Step 191 Term Loss -0.172355, Default Loss -79.137871, Reward 0.900000
Epoch 01 Step 192 Term Loss -0.171811, Default Loss -79.137848, Reward 0.900000
Epoch 01 Step 193 Term Loss -0.171857, Default Loss -79.137833, Reward 0.900000
Epoch 01 Step 194 Term Loss -0.172422, Default Loss -79.137810, Reward 0.900000
Epoch 01 Step 195 Term Loss -0.173106, Default Loss -79.137802, Reward -13.000000
Epoch 01 Step 196 Term Loss -0.172701, Default Loss -79.137787, Reward -13.000000
Epoch 01 Step 197 Term Loss -0.172870, Default Loss -79.137756, Reward -13.000000
Epoch 01 Step 198 Term Loss -0.173019, Default Loss -79.137741, Reward 0.900000
Epoch 01 Step 199 Term Loss -0.172937, Default Loss -79.137718, Reward 0.900000
Epoch 01 Step 200 Term Loss -0.173181, Default Loss -79.137695, Reward -13.000000
Epoch 01 Step 201 Term Loss -0.173269, Default Loss -79.137680, Reward 0.900000
Epoch 01 Step 202 Term Loss -0.172881, Default Loss -79.137672, Reward -13.000000
Epoch 01 Step 203 Term Loss -0.173033, Default Loss -79.137650, Reward -13.000000
Epoch 01 Step 204 Term Loss -0.172868, Default Loss -79.137634, Reward 0.900000
Epoch 01 Step 205 Term Loss -0.172795, Default Loss -79.137611, Reward 0.900000
Epoch 01 Step 206 Term Loss -0.173264, Default Loss -79.137596, Reward 0.900000
