Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi-1000-5-10/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 20:10:05.530966: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 100 Default Step Loss 0.267923, Argument Step Loss 1.691399, Term: 0.976190, Prog: 0.619048, A0: 0.500000, A1: 0.676471, A2: 1.0
Epoch 01 Step 101 Default Step Loss 0.253149, Argument Step Loss 1.683077, Term: 0.976190, Prog: 0.619048, A0: 0.529412, A1: 0.676471, A2: 1.0
Epoch 01 Step 102 Default Step Loss 0.227416, Argument Step Loss 1.583518, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.741935, A2: 1.0
Epoch 01 Step 103 Default Step Loss 0.263678, Argument Step Loss 1.677636, Term: 0.976190, Prog: 0.619048, A0: 0.500000, A1: 0.705882, A2: 1.0
Epoch 01 Step 104 Default Step Loss 0.252588, Argument Step Loss 1.658967, Term: 0.976190, Prog: 0.619048, A0: 0.558824, A1: 0.705882, A2: 1.0
Epoch 01 Step 105 Default Step Loss 0.243839, Argument Step Loss 1.601155, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 106 Default Step Loss 0.199341, Argument Step Loss 1.519817, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.785714, A2: 1.0
Epoch 01 Step 107 Default Step Loss 0.163067, Argument Step Loss 1.418753, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.840000, A2: 1.0
Epoch 01 Step 108 Default Step Loss 0.199512, Argument Step Loss 1.478797, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.821429, A2: 1.0
Epoch 01 Step 109 Default Step Loss 0.162344, Argument Step Loss 1.358040, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.840000, A2: 1.0
Epoch 01 Step 110 Default Step Loss 0.279061, Argument Step Loss 1.717579, Term: 0.976190, Prog: 0.619048, A0: 0.529412, A1: 0.705882, A2: 1.0
Epoch 01 Step 111 Default Step Loss 0.247768, Argument Step Loss 1.661224, Term: 0.976190, Prog: 0.619048, A0: 0.588235, A1: 0.676471, A2: 1.0
Epoch 01 Step 112 Default Step Loss 0.236398, Argument Step Loss 1.618804, Term: 0.973684, Prog: 0.631579, A0: 0.483871, A1: 0.709677, A2: 1.0
Epoch 01 Step 113 Default Step Loss 0.224984, Argument Step Loss 1.576315, Term: 0.973684, Prog: 0.631579, A0: 0.612903, A1: 0.709677, A2: 1.0
Epoch 01 Step 114 Default Step Loss 0.197041, Argument Step Loss 1.512535, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.785714, A2: 1.0
Epoch 01 Step 115 Default Step Loss 0.245604, Argument Step Loss 1.619494, Term: 0.976190, Prog: 0.619048, A0: 0.558824, A1: 0.676471, A2: 1.0
Epoch 01 Step 116 Default Step Loss 0.192393, Argument Step Loss 1.460260, Term: 0.970588, Prog: 0.647059, A0: 0.607143, A1: 0.785714, A2: 1.0
Epoch 01 Step 117 Default Step Loss 0.244495, Argument Step Loss 1.599744, Term: 0.973684, Prog: 0.631579, A0: 0.580645, A1: 0.709677, A2: 1.0
Epoch 01 Step 118 Default Step Loss 0.206065, Argument Step Loss 1.598757, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 119 Default Step Loss 0.191381, Argument Step Loss 1.474279, Term: 0.970588, Prog: 0.647059, A0: 0.607143, A1: 0.785714, A2: 1.0
Epoch 01 Step 120 Default Step Loss 0.262492, Argument Step Loss 1.668179, Term: 0.978261, Prog: 0.608696, A0: 0.567568, A1: 0.648649, A2: 1.0
Epoch 01 Step 121 Default Step Loss 0.254454, Argument Step Loss 1.682362, Term: 0.976190, Prog: 0.619048, A0: 0.529412, A1: 0.705882, A2: 1.0
Epoch 01 Step 122 Default Step Loss 0.248625, Argument Step Loss 1.580598, Term: 0.976190, Prog: 0.619048, A0: 0.617647, A1: 0.705882, A2: 1.0
Epoch 01 Step 123 Default Step Loss 0.187977, Argument Step Loss 1.487443, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.785714, A2: 1.0
Epoch 01 Step 124 Default Step Loss 0.217189, Argument Step Loss 1.515616, Term: 0.973684, Prog: 0.631579, A0: 0.645161, A1: 0.709677, A2: 1.0
Epoch 01 Step 125 Default Step Loss 0.235892, Argument Step Loss 1.534636, Term: 0.973684, Prog: 0.631579, A0: 0.580645, A1: 0.774194, A2: 1.0
Epoch 01 Step 126 Default Step Loss 0.234323, Argument Step Loss 1.576208, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.741935, A2: 1.0
Epoch 01 Step 127 Default Step Loss 0.195082, Argument Step Loss 1.495600, Term: 0.970588, Prog: 0.647059, A0: 0.607143, A1: 0.785714, A2: 1.0
Epoch 01 Step 128 Default Step Loss 0.188297, Argument Step Loss 1.479884, Term: 0.970588, Prog: 0.647059, A0: 0.607143, A1: 0.750000, A2: 1.0
Epoch 01 Step 129 Default Step Loss 0.278418, Argument Step Loss 1.663737, Term: 0.978261, Prog: 0.608696, A0: 0.594595, A1: 0.648649, A2: 1.0
Epoch 01 Step 130 Default Step Loss 0.238500, Argument Step Loss 1.556409, Term: 0.976190, Prog: 0.619048, A0: 0.647059, A1: 0.676471, A2: 1.0
Epoch 01 Step 131 Default Step Loss 0.233181, Argument Step Loss 1.552443, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.709677, A2: 1.0
Epoch 01 Step 132 Default Step Loss 0.154307, Argument Step Loss 1.466209, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.800000, A2: 1.0
Epoch 01 Step 133 Default Step Loss 0.215509, Argument Step Loss 1.517446, Term: 0.973684, Prog: 0.631579, A0: 0.645161, A1: 0.741935, A2: 1.0
Epoch 01 Step 134 Default Step Loss 0.216371, Argument Step Loss 1.515140, Term: 0.973684, Prog: 0.631579, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 135 Default Step Loss 0.239422, Argument Step Loss 1.539385, Term: 0.976190, Prog: 0.619048, A0: 0.705882, A1: 0.676471, A2: 1.0
Epoch 01 Step 136 Default Step Loss 0.212172, Argument Step Loss 1.518332, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 137 Default Step Loss 0.211868, Argument Step Loss 1.504819, Term: 0.973684, Prog: 0.631579, A0: 0.645161, A1: 0.709677, A2: 1.0
Epoch 01 Step 138 Default Step Loss 0.260328, Argument Step Loss 1.596873, Term: 0.973684, Prog: 0.631579, A0: 0.580645, A1: 0.741935, A2: 1.0
Epoch 01 Step 139 Default Step Loss 0.234262, Argument Step Loss 1.527450, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.709677, A2: 1.0
Epoch 01 Step 140 Default Step Loss 0.151889, Argument Step Loss 1.356463, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.840000, A2: 1.0
Epoch 01 Step 141 Default Step Loss 0.212479, Argument Step Loss 1.514148, Term: 0.973684, Prog: 0.631579, A0: 0.580645, A1: 0.709677, A2: 1.0
Epoch 01 Step 142 Default Step Loss 0.235711, Argument Step Loss 1.517015, Term: 0.976190, Prog: 0.619048, A0: 0.705882, A1: 0.705882, A2: 1.0
Epoch 01 Step 143 Default Step Loss 0.212437, Argument Step Loss 1.454809, Term: 0.973684, Prog: 0.631579, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 144 Default Step Loss 0.279318, Argument Step Loss 1.592754, Term: 0.978261, Prog: 0.608696, A0: 0.675676, A1: 0.648649, A2: 1.0
Epoch 01 Step 145 Default Step Loss 0.257262, Argument Step Loss 1.545174, Term: 0.976190, Prog: 0.619048, A0: 0.617647, A1: 0.676471, A2: 1.0
Epoch 01 Step 146 Default Step Loss 0.208382, Argument Step Loss 1.473835, Term: 0.973684, Prog: 0.631579, A0: 0.645161, A1: 0.741935, A2: 1.0
Epoch 01 Step 147 Default Step Loss 0.185612, Argument Step Loss 1.417290, Term: 0.970588, Prog: 0.647059, A0: 0.642857, A1: 0.785714, A2: 1.0
Epoch 01 Step 148 Default Step Loss 0.272820, Argument Step Loss 1.594357, Term: 0.978261, Prog: 0.608696, A0: 0.621622, A1: 0.648649, A2: 1.0
Epoch 01 Step 149 Default Step Loss 0.188523, Argument Step Loss 1.424446, Term: 0.970588, Prog: 0.647059, A0: 0.642857, A1: 0.750000, A2: 1.0
Epoch 01 Step 150 Default Step Loss 0.213534, Argument Step Loss 1.454510, Term: 0.973684, Prog: 0.631579, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 151 Default Step Loss 0.259000, Argument Step Loss 1.518731, Term: 0.976190, Prog: 0.619048, A0: 0.705882, A1: 0.676471, A2: 1.0
Epoch 01 Step 152 Default Step Loss 0.182290, Argument Step Loss 1.446522, Term: 0.970588, Prog: 0.647059, A0: 0.607143, A1: 0.785714, A2: 1.0
Epoch 01 Step 153 Default Step Loss 0.210772, Argument Step Loss 1.456407, Term: 0.973684, Prog: 0.631579, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 154 Default Step Loss 0.231708, Argument Step Loss 1.500116, Term: 0.976190, Prog: 0.619048, A0: 0.705882, A1: 0.676471, A2: 1.0
Epoch 01 Step 155 Default Step Loss 0.234172, Argument Step Loss 1.480894, Term: 0.973684, Prog: 0.657895, A0: 0.677419, A1: 0.709677, A2: 1.0
Epoch 01 Step 156 Default Step Loss 0.151432, Argument Step Loss 1.341940, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.840000, A2: 1.0
